ServiceNo,Direction,StopSequence,Distance,Category,Description,Interchange,Freq_of_Buses_during_Peak_Period,Freq_of_Buses_during_OffPeak_Period
10,1,1,0.0,TRUNK,Tampines Int,Has Interchange,9.0,8.0
10,1,2,0.6,TRUNK,Opp Our Tampines Hub,Does Not Have Interchange,9.0,8.0
10,1,3,1.1,TRUNK,Blk 147,Does Not Have Interchange,9.0,8.0
10,1,4,2.3,TRUNK,Changi General Hosp,Does Not Have Interchange,9.0,8.0
10,1,5,2.7,TRUNK,Opp Blk 3012,Does Not Have Interchange,9.0,8.0
10,1,6,3.3,TRUNK,Flextronic,Does Not Have Interchange,9.0,8.0
10,1,7,3.5,TRUNK,Bef Jln Chempaka Kuning,Does Not Have Interchange,9.0,8.0
10,1,8,3.8,TRUNK,Bedok Mkt Pl,Does Not Have Interchange,9.0,8.0
10,1,9,4.1,TRUNK,Bef Jln Chempaka Kuning,Does Not Have Interchange,9.0,8.0
10,1,10,4.5,TRUNK,Opp Man Fatt Lam Tp,Does Not Have Interchange,9.0,8.0
10,1,11,4.8,TRUNK,Opp Excelsior Gdns,Does Not Have Interchange,9.0,8.0
10,1,12,5.0,TRUNK,Aft Bedok Meth Ch,Does Not Have Interchange,9.0,8.0
10,1,13,5.2,TRUNK,Eastwood Ctr,Does Not Have Interchange,9.0,8.0
10,1,14,5.5,TRUNK,Bedok Camp 2,Does Not Have Interchange,9.0,8.0
10,1,15,6.1,TRUNK,Opp Kew Green Condo,Does Not Have Interchange,9.0,8.0
10,1,16,6.4,TRUNK,Temasek Sec Sch,Does Not Have Interchange,9.0,8.0
10,1,17,6.8,TRUNK,Aft Bedok Sth Ave 3,Does Not Have Interchange,9.0,8.0
10,1,18,7.0,TRUNK,Calvary Ably Of God Ch,Does Not Have Interchange,9.0,8.0
10,1,19,7.3,TRUNK,Opp The Summit,Does Not Have Interchange,9.0,8.0
10,1,20,7.7,TRUNK,Aft Sennet Rd,Does Not Have Interchange,9.0,8.0
10,1,21,7.9,TRUNK,Opp Evergreen Ave,Does Not Have Interchange,9.0,8.0
10,1,22,8.3,TRUNK,Siglap Sth CC,Does Not Have Interchange,9.0,8.0
10,1,23,8.8,TRUNK,Opp Goodwill Ct,Does Not Have Interchange,9.0,8.0
